replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_SS_given_FC
549,saradisk - 168 - 401 [Insane],NM,4.335289418,4.156337612,15.80207973
865,MIMI feat. Hatsune Miku - Ai no Sukima [Insane],HDDT,4.515536577,4.149849645,8.642869005
902,Panda Eyes & Teminite - Immortal Flame (feat. Anna Yvette) [Insane],NM,4.253462188,4.128586915,19.12976148
857,supercell - Kimi no Shiranai Monogatari -TV Edit- [Insane],NM,4.69166567,4.121932106,17.96696366
217,S3RL - I'll See You Again (feat. Chi Chi) [Hard],NM,3.28485386,4.113150907,26.23623199
922,Maffalda - pensamento tipico de esquerda caviar [Kuron's Insane],HDDT,4.69488118,4.109037623,10.3326755
314,Junjou no Afilia - Kyuukyoku Unbalance! (TV Size) [Kowari's Insane],HDDT,4.24595183,4.092663596,20.62758931
386,Within Temptation - The Unforgiving [Stairway to the Skies],NM,3.019800794,4.091313196,32.47106061
957,Within Temptation - The Unforgiving [Stairway to the Skies],NM,3.019800794,4.091313196,32.47106061
490,Three feat. Kagamine Len - Ego Rock [Extra],NM,5.043585025,4.076103869,10.88501726
555,YOASOBI - Love Letter [Please accept my overflowing emotions.],HD,4.41688205,4.064142426,18.26062222
