beatmap_name,mods,stars_live,neg_loglik_SS
Camellia - Break The Silence [murmur.],NM,7.007698325121948,32.781348099504434
Wagakki Band - Tengaku [Uncompressed Fury of a Raging Japanese God],NM,7.812080742335351,32.528759358072065
Feint - Tower Of Heaven (You Are Slaves) [Heaven],HD,5.545273796431182,32.4787489223
Kanpyohgo - Unmei no Dark Side -Rolling Gothic mix [FreeSongs' Rolling Hell],NM,6.56455982111187,32.330063972721696
Hitomi Harada - Overdrive [Extra],NM,5.700060609375677,32.17077189469599
Heatbeat - Mortal Kombat [Mortal],NM,5.414827641206424,32.02910815528634
ONE OK ROCK - Take me to the top [Sotarks' Ascension],NM,6.696545677833401,32.01711931079058
Power Of Nature - Shounen wa Sora o Tadoru [Special],NM,5.479451732858583,32.005981443416815
Camellia - Diastrophism [Real's Extreme],NM,6.045091349321094,31.93147428696671
Mizuki Nana - STARTING NOW! (TV Size) [2D Supremacy],HD,5.607640485157931,31.893032936250467
dj TAKA - quaver [NiNo's Extra],HDNF,6.177969879748346,31.861166688817622
96neko - Uso no Hibana [Monstraia's Extra],FL,6.3090472663284025,31.807681575561432
Getty vs. DJ DiA - Grayed Out -Antifront- [Loli's Ultra],NM,6.173638326876175,31.788767118944772
Dancing Cats - Go Kitty Go! [lets go],NM,7.344162176629014,31.718929804860565
Tech N9ne - Worldwide Choppers [Gangsta],NF,6.349763454249766,31.63465254717316
Aimiya Zero - -ERROR [Drowning],HD,7.404080235164623,31.542873764822247
paraoka - REAL210 [Arles],NM,6.447282337343228,31.540777554248198
Helblinde - Imagine Breaker [woof],HD,7.501561424894503,31.46217537100394
Draw the Emotional - Sad spring [Akitoshi's Expert],NM,5.524854899585298,31.352916403101887
Usada Pekora - Discommunication Alien [uwaaa],HDNF,4.755963460403161,31.350112018195908
yuikonnu - Yume Chizu [Another],NM,5.120760448365822,31.331528131758482
Mob Psycho 100 (MOB CHOIR) - 99 [100%],NM,6.493769920957494,31.247999285389913
Brandy - Cross Time !! [captin's Extra],NM,4.964925869771969,31.175002982512808
Various Artists - Jump Training Collection #3 [Final Level!! - Yuudachi no Ribbon],NM,7.998304907793063,31.152737363536
LeaF - Kyouki Ranbu [Extreme],HD,6.000805433598911,31.00988513291628
Hyadain - Chocobo [Gold],NM,4.729072448283571,30.968013941294736
kakichoco - Zan'ei [Illusion],NM,5.578497392458393,30.883435978805416
ryu5150 - Louder than steel [Onlybiscuit's Extra],NM,5.6546793108430045,30.805062396838345
DJKurara - Goodbye [SEVEN COLORS],NM,6.12564774956258,30.767586276470183
toby fox - Finale [Determination],HD,5.799902745097056,30.74327272781365
Gekidan Record feat. Nekomata Master - Houkou Orpheus [Expert],NM,4.946174058936331,30.72672059319398
OwataP - Turkish March - Owata \(^o^)/ [<Normal Mode>],NM,5.861852271516427,30.62430284688184
"Demetori - Yuuga ni Sakase, Sumizome no Sakura ~ The Harm of Coming into Existence [Stage 6]",HD,7.208390718950725,30.59677567381187
Seiryu - BLUE DRAGON [Kyshiro's Extra],NM,5.83704484707237,30.56174876406642
THE ORAL CIGARETTES - Flower [Vagueness],NM,6.596428826217857,30.52581740182464
96neko - Uso no Hibana [NiNo's Extra],NM,6.103744691015577,30.518317779244413
Yousei Teikoku - Autoscopy [Extreme],NM,6.313676295011657,30.478982688833018
Lana Del Rey - Dark Paradise [A Bitter Melody],NM,4.476755994896283,30.44961723318245
"ShinRa-Bansho - Pink Kurage to, Sotto, Kiss o Shita. [I gently kissed the pink jellyfish.]",HD,6.908677308508219,30.35994889141088
goreshit - there are no angels here. [archangeloi.],NM,5.320569744868696,30.32678364809172
TOOL - The Pot [High],NM,7.428424047257289,30.275571070746008
Natsuiro Bikini no Prim - Nagisa no Koakuma Lovely~Radio [fanzhen's Expert],NM,5.32150490117867,30.170331014287218
Aqua - Barbie girl [Ultimate Cancer],NM,9.230689521443164,30.163462479278227
Gary-lee Calvert - MC MENTAL @ HIS BEST [MC],NM,6.32881541757774,30.12455051542856
Popek - Rhythmic Collapse [Rhytmusstorung],NM,7.460353471999598,30.100438881457116
Sarah Connor - Cold As Ice (PH Electro Remix) (Nightcore Mix) [Rikka's dunno],FL,5.92931106535353,29.98423940638749
THE ORAL CIGARETTES - Sesshoku [Apocalypse],HD,6.656151414700202,29.895068235068155
SOUND HOLIC - Airman ga Taosenai (SOUND HOLIC Ver.) [Airman],NM,6.057371566526975,29.89238994553916
ShinRa-Bansho - Itazura Sensation [The Dead Princess was her?],NM,6.558103078878405,29.853946818112767
Hanazono Tae (CV: Otsuka Sae) - Hanazono Denki Guitar!!! [Expert],NM,5.808798933847839,29.786819230896523
Yooh - LegenD. [GRAVITY],NM,6.106248069894873,29.74527720576078
VINXIS - Sidetracked Day [Daydream],NM,5.400899560324568,29.716779054624283
Noisia - Shellshock feat. Foreign Beggars [deetz's Insane],NM,4.773650550033951,29.6550640940194
Ray - km/h (TV Size) [Kyuukai's Extreme],NM,6.197962716623858,29.528555954590686
Riryka - Glass no Loneliness [Clear],HD,3.617727319507588,29.464528111403958
Kano - Stella-rium [Extra],NM,5.645668020380232,29.394916098674475
OxT - UNION (TV Size) [SSSS],NM,5.655973052398253,29.300317139537682
Chroma - I [Mamiko's HEAVENLY],NM,6.3594095024022055,29.298449687060742
Fanatic - Seishoujo Syndrome [mega kolab],NM,9.24920340472265,29.27596527921741
FLOOR BABA - WIGGLE CORE [TAP],NM,6.613191614736332,29.272945663662032
Touno Sakura - PRIZM/CIRCUiT [Lovely],NM,4.657795167275969,29.272560560994858
The Winking Owl - Bloom [Blossom],NM,6.17247222499859,29.16564243639952
Watashi (CV: Yuuki Aoi) - Ganbare! Kumoko-san no Thema (TV Size) [Ultra: Arachne],NM,7.7339259074019315,29.16191935176358
Yorushika - Deep Indigo [That's Why I Gave up on Mapping],HD,7.168995355888112,29.13215604381956
THE ORAL CIGARETTES - 5150 [Expert],NM,6.150009400137141,29.068779247123157
